name,time,frame,height,yaw,pitch,roll,lat,lon,east,north,zone.number,zone.letter,image_x,image_y,start_east,start_north,end_east,end_north,heading,project,length,flukeprint_width,fluke_span,body_length,age_class
20240811001A,2024-08-11 05:27:14,1201,80,121.8,-90,0,-20.970308837918,55.175509364928,310321.372143274,7680057.29275611,40,K,617.915,657.8,310323.217048386,7680057.52512787,310319.527238163,7680057.06038435,-97.1787859740804,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.71896303043674,NA,NA,adult
20240811001A,2024-08-11 05:27:22.600000,1456,80.1,121.8,-89.9,0,-20.9703689068688,55.1754365474618,310313.87575967,7680050.55593269,40,K,266.17,661.435,310315.68259047,7680050.64394171,310312.068928871,7680050.46792366,-92.7886194305269,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.61794589649794,NA,NA,adult
20240811001A,2024-08-11 05:27:29.400000,1662,80.1,121.8,-89.9,0,-20.9705863702182,55.1754085245314,310311.236179872,7680026.44638691,40,K,519.285,615.74,310312.948280657,7680026.50760086,310309.524079086,7680026.38517296,-92.047664230368,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.42638949726079,NA,NA,adult
20240811001A,2024-08-11 05:28:11.400000,2921,79.9,124.5,-89.9,0,-20.9709810725797,55.1752334936832,310293.533222553,7679982.53962816,40,K,293.73,859.43,310295.392066581,7679982.36116305,310291.674378525,7679982.71809328,-84.5159180634024,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.73478294883812,NA,NA,adult
20240811001A,2024-08-11 05:28:23.800000,3290,80.1,124.9,-89.9,0,-20.9712469063881,55.1752086831692,310291.28881006,7679953.07857637,40,K,661.435,601.965,310293.155351192,7679953.33206336,310289.422268929,7679952.82508938,-97.7337817817462,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.76734996926322,NA,NA,adult
20240811001A,2024-08-11 05:33:09.800000,11861,79.3,122.8,-90,0,-20.9755614079647,55.1756176012377,310339.257497687,7679475.88584861,40,K,540,453.165,310340.956785932,7679476.48523005,310337.558209442,7679475.28646718,-109.42901968106,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.6037972433602,NA,NA,adult
20240811001A,2024-08-11 05:33:24.800000,12309,78.7,118,-90,0,-20.9758271116661,55.1755349080575,310330.99407008,7679446.37056108,40,K,277.295,710.02,310332.84387249,7679446.58131985,310329.14426767,7679446.1598023,-96.500012590015,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.72354036702505,NA,NA,adult
20240811001A,2024-08-11 05:33:36.200000,12656,77,113.7,-89.9,0,-20.9760443225164,55.1755708755596,310335.008367128,7679422.36482813,40,K,511.545,506.43,310336.904708854,7679422.88914442,310333.112025401,7679421.84051185,-105.455498617014,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.93498132913287,NA,NA,adult
20240811001A,2024-08-11 05:33:50.400000,13076,76.9,113.7,-90,0,-20.9762463722855,55.1755267454341,310330.674587098,7679399.94267155,40,K,205.785,646.54,310332.426669286,7679400.33669901,310328.92250491,7679399.54864409,-102.674437347841,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.59168463704576,NA,NA,adult
20240811001A,2024-08-11 05:34:00.800000,13391,76.9,113.5,-89.9,0,-20.9763059265076,55.1755102111234,310329.030458895,7679393.32955244,40,K,126.245,643.625,310330.699569606,7679393.76363467,310327.361348183,7679392.8954702,-104.577863950998,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.44926540198933,NA,NA,adult
20240811002A,2024-08-11 05:26:45,330,79.9,139.4,-83.7,0,-20.9698546127871,55.1757016334869,310340.792686813,7680107.80992885,40,K,477.24,414.485,310342.591388803,7680108.03148664,310338.993984823,7680107.58837106,-97.0221211020826,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.62459195131399,NA,NA,adult
20240811002A,2024-08-11 05:27:08,1020,80,124,-90,0,-20.9702181221935,55.1756156267136,310332.307691138,7680067.46226012,40,K,543.655,517.385,310334.158227579,7680067.65644475,310330.457154697,7680067.2680755,-95.9903659067184,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.72139371033537,NA,NA,adult
