name	time	frame	height	yaw	pitch	roll	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	length	flukeprint_width	fluke_span	body_length	age_class
20240720001A	35:22.9	955	60.9	12.1	-45.4	0	-21.07198754	55.20697702	313720.0463	7668837.066	40	K	448.355	403.69	313722.1181	7668835.923	313717.9745	7668838.209	-61.11555996	Jul-20th-2024-08-34AM-Flight-Airdata	NA	3.785881126	NA	NA	adult
20240720001A	35:22.9	955	60.9	12.1	-45.4	0	-21.07192244	55.20700045	313722.3998	7668844.301	40	K	483.965	354.07	313724.45	7668842.795	313720.3497	7668845.807	-53.7038975	Jul-20th-2024-08-34AM-Flight-Airdata	NA	4.069986427	NA	NA	adult
20240720001A	35:23.7	983	62.6	12.1	-45.4	0	-21.07190757	55.20700054	313722.391	7668845.947	40	K	490.385	358.74	313724.3432	7668844.252	313720.4389	7668847.643	-49.02472619	Jul-20th-2024-08-34AM-Flight-Airdata	NA	4.137134124	NA	NA	adult
20240720001A	35:05.3	430	35.3	12.1	-13.4	0	-21.07226104	55.2078428	313810.3561	7668807.798	40	K	1430.685	619.31	313814.321	7668811.565	313806.3912	7668804.031	-133.5350887	Jul-20th-2024-08-34AM-Flight-Airdata	10.93824232	NA	NA	10.93824232	adult
20240720001A	34:55.5	132	35.2	9.4	-13.4	0	-21.07229548	55.20785741	313811.9175	7668804.002	40	K	1447.07	593.495	313815.6874	7668807.448	313808.1475	7668800.556	-132.4300269	Jul-20th-2024-08-34AM-Flight-Airdata	10.21527177	NA	NA	10.21527177	adult
20240720001A	35:04.9	417	35.3	12.1	-13.4	0	-21.0722539	55.20785794	313811.9211	7668808.605	40	K	1429.84	611.105	313815.9115	7668812.249	313807.9307	7668804.962	-132.3988187	Jul-20th-2024-08-34AM-Flight-Airdata	10.80728504	NA	NA	10.80728504	adult
20240720001A	35:06.9	475	35.2	12.1	-13.4	0	-21.07226234	55.20776897	313802.6855	7668807.567	40	K	1421.125	657.525	313802.0075	7668808.468	313803.3635	7668806.667	143.0182606	Jul-20th-2024-08-34AM-Flight-Airdata	2.254231005	NA	3.043211857	NA	adult
20240720001A	35:09.3	547	35.1	12.1	-13.4	0	-21.07222513	55.20769102	313794.5395	7668811.596	40	K	1438.475	732.79	313793.9224	7668812.568	313795.1566	7668810.624	147.5933579	Jul-20th-2024-08-34AM-Flight-Airdata	2.302943919	NA	3.108974291	NA	adult
20240720001A	35:19.9	867	52.5	12.1	-36.1	0	-21.07209864	55.20776319	313801.8806	7668825.684	40	K	1467.025	468.16	313801.7979	7668827.136	313801.9634	7668824.232	176.7386158	Jul-20th-2024-08-34AM-Flight-Airdata	2.908646721	NA	3.926673074	NA	adult
20240720002A	58:48.9	7911	89.6	286.3	-90	0	-21.08049425	55.20490643	313515.4918	7667892.828	40	K	542.275	765.935	313515.7335	7667895.025	313515.2501	7667890.631	-173.7222435	Jul-20th-2024-08-53AM-Flight-Airdata	NA	4.450836806	NA	NA	adult
20240720002A	03:56.9	17140	90.2	136.2	-90	0	-21.08356527	55.20982465	314030.3709	7667558.575	40	K	340.95	436.02	314028.1296	7667558.595	314032.6121	7667558.556	90.4973469	Jul-20th-2024-08-53AM-Flight-Airdata	NA	4.482645071	NA	NA	adult
20240720002A	58:48.9	7911	89.6	286.3	-90	0	-21.08047519	55.20481179	313505.6337	7667894.827	40	K	531.325	644.8	313506.3384	7667896.969	313504.9289	7667892.684	-161.7924796	Jul-20th-2024-08-53AM-Flight-Airdata	NA	4.541170665	NA	NA	adult
20240720002A	57:55.3	6300	92	135.1	-35.4	0	-21.08125299	55.20724349	313759.284	7667811.56	40	K	407.36	551.185	313757.5332	7667808.368	313761.0347	7667814.752	28.74010775	Jul-20th-2024-08-53AM-Flight-Airdata	NA	4.551977198	NA	NA	adult
