name	time	frame	height	yaw	pitch	roll	length	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	sensor	surface_event	printID
20240720002A	2024-07-20 05:03:49.500000	6400	90.1	140.1	-76.9	0	NA	-21.0840972169493	55.2093661593942	313983.392276392	7667499.14582929	40	K	1305.67	435.71	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	1
20240720002A	2024-07-20 05:03:59.700000	6704	90.1	136.2	-89.9	0	NA	-21.0841674139793	55.2094602408984	313993.255530603	7667491.48396351	40	K	1320.1	252.48	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	2
20240720002A	2024-07-20 05:04:07.100000	6927	90.2	136.2	-90	0	NA	-21.0841933743616	55.2095230298352	313999.812143588	7667488.68315127	40	K	1279.71	360.68	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	3
20240720002A	2024-07-20 05:04:19.100000	7284	90.2	106.1	-89.9	0	NA	-21.0842920588296	55.2098026288635	314028.987641769	7667478.08406876	40	K	1347.51	174.57	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	4
20240720002A	2024-07-20 05:04:39.900000	7911	90.1	111.3	-89.9	0	NA	-21.0842916296814	55.21004886331	314054.572883619	7667478.41924241	40	K	1465.82	442.92	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	5
20240720003J	2024-07-20 05:03:36.900000	6018	90.1	143.4	-54.1	0	NA	-21.0840800660165	55.2091934242396	313965.422293401	7667500.84281338	40	K	1379.73	512.72	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	1
20240720003J	2024-07-20 05:03:43.900000	6228	90.2	143.4	-57.7	0	NA	-21.0841139982752	55.2092914868244	313975.654068619	7667497.20063459	40	K	1342.29	581.85	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	2
20240720003J	2024-07-20 05:03:58.700000	6676	90.1	136.2	-90	0	NA	-21.0841121292776	55.2094313110607	313990.180645736	7667497.57095779	40	K	1294.76	293.81	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	1	3
20240720003J	2024-07-20 05:03:52.700000	6495	90.2	136.2	-76.9	0	NA	-21.0841098734309	55.2093998237799	313986.906045916	7667497.78391707	40	K	1310.6	462.31	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	2	1
20240720003J	2024-07-20 05:04:15.300000	7173	90.1	106.1	-90	0	NA	-21.0842555632933	55.2097089278995	314019.205909792	7667482.01516598	40	K	1336.53	302.45	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	2	2
20240720003J	2024-07-20 05:04:33.100000	7707	90.1	106.9	-90	0	NA	-21.0842651006598	55.2099456430895	314043.814435641	7667481.23579945	40	K	1500.71	198.75	NA	NA	NA	NA	NA	Jul-20th-2024-08-53AM-Flight-Airdata	RGB	2	3
