name	sensor	event	print_ID	time	frame	height	length	lat	lon	east	north
20240806004A	TIR	1	1	2024-08-06 06:28:07.5	12363	90	NA	-20.9963791887845	55.1790563260508	310723.076659347	7677175.13087789
20240806004A	TIR	1	2	2024-08-06 06:28:07.5	12363	90	NA	-20.9965801588121	55.1786637438089	310682.513161713	7677152.41555529
20240806004A	TIR	2	1	2024-08-06 06:27:33.9	11356	98.2	NA	-20.9962300180193	55.1792184490926	310739.744572794	7677191.83825445
20240806004A	TIR	2	2	2024-08-06 06:27:33.9	11356	98.2	NA	-20.9965536778533	55.1787188528176	310688.20946766	7677155.41266625
20240806003A	TIR	2	2	2024-08-06 06:27:50.1	11839	94.9	NA	-20.9968020141279	55.1783868919258	310654.008646977	7677127.52494462
20240806003A	TIR	2	1	2024-08-06 06:27:50.1	11839	94.9	NA	-20.9962528683152	55.1792766406467	310745.823604703	7677189.3773082
20240806003A	RGB	2	NA	2024-08-06 06:26:56.7	10240	98.4	NA	-20.9961596200922	55.1790513358716	310722.280907527	7677199.43441189
20240806003A	RGB	2	NA	2024-08-06 06:27:29.5	11223	98.1	NA	-20.9966606531731	55.178634567505	310679.581231548	7677143.46909435
20240806004A	RGB	2	NA	2024-08-06 06:26:56.7	10240	98.4	NA	-20.9961130240893	55.1789715909647	310713.930999782	7677204.49881671
20240806004A	RGB	2	NA	2024-08-06 06:27:22.1	11003	98.1	NA	-20.996339857678	55.1785960573739	310675.172624051	7677178.94020178
20240806004A	RGB	1	NA	2024-08-06 06:28:01.3	12179	90.1	NA	-20.9963568891721	55.1786181250164	310677.488496564	7677177.08071047
20240806004A	RGB	1	NA	2024-08-06 06:27:31.3	11275	98.1	NA	-20.9967127702662	55.1784866825059	310664.271315832	7677137.52377168
20240806001A	RGB	1	NA	2024-08-06 06:26:57.5	10264	98.1	NA	-20.9951072046674	55.1786698729945	310681.292373844	7677315.50025858
20240806001A	RGB	1	NA	2024-08-06 06:27:17.7	10870	98.2	NA	-20.9949804328353	55.1787982288879	310694.477831171	7677329.68778344
20240806001A	TIR	1	1	2024-08-06 06:27:06.7	10539	98.2	NA	-20.9964435822518	55.1794960106913	310768.87212781	7677168.52227732
20240806001A	TIR	1	2	2024-08-06 06:27:06.7	10539	98.2	NA	-20.9963675863509	55.1793168953857	310750.15357889	7677176.72402665
20240806001A	TIR	1	3	2024-08-06 06:27:06.7	10539	98.2	NA	-20.9962871465277	55.1791966040957	310737.545377722	7677185.48742848
20240806001A	TIR	1	4	2024-08-06 06:27:06.7	10539	98.2	NA	-20.9962045260925	55.1790471195741	310721.899171182	7677194.45767159
20240729009J	TIR	3	1	2024-07-29 12:39:36.2	13492	89.8	NA	-21.008567583348	55.2247215806168	315485.866433034	7675879.12877374
20240729009J	TIR	3	2	2024-07-29 12:39:36.2	13492	89.8	NA	-21.008820273023	55.2247800307661	315492.253776186	7675851.22036248
20240729009J	TIR	1	1	2024-07-29 12:35:18.4	5767	88.1	NA	-21.0070840173064	55.2246620401023	315477.851486831	7676043.30943789
20240729009J	TIR	1	2	2024-07-29 12:35:18.4	5767	88.1	NA	-21.0072612817453	55.2247003931477	315482.05677864	7676023.72833687
20240729009J	TIR	2	1	2024-07-29 12:36:54.8	8656	90.5	NA	-21.0076218362516	55.2247513938409	315487.802396074	7675983.86932711
20240729009J	TIR	2	2	2024-07-29 12:36:54.8	8656	90.5	NA	-21.0078616790474	55.2247912660222	315492.242577366	7675957.36176722
20240729009J	TIR	4	2	2024-07-29 12:37:42.6	10088	90.2	NA	-21.0081944378835	55.2248627062334	315500.07887272	7675920.60369469
20240729009J	TIR	4	1	2024-07-29 12:37:42.6	10088	90.2	NA	-21.0079602824394	55.2248421921331	315497.658182365	7675946.50395478
20240729009J	TIR	5	1	2024-07-29 12:38:12.6	10986	90.1	NA	-21.0080717161923	55.2246110948253	315473.770253791	7675933.89988179
20240729009J	TIR	5	2	2024-07-29 12:38:12.6	10986	90.1	NA	-21.0083126014361	55.2246882126425	315482.083805373	7675907.31993781
20240729009J	RGB	3	NA	2024-07-29 12:38:55.8	12281	90.2	NA	-21.0086576665885	55.2248181405079	315496.015634737	7675869.26696555
20240729009J	RGB	3	NA	2024-07-29 12:39:29.8	13302	90	NA	-21.0089155765116	55.2248021223563	315494.667658375	7675840.69458451
20240729009J	RGB	1	NA	2024-07-29 12:35:14.8	5661	88.1	NA	-21.0072550341154	55.2247278854125	315484.907219633	7676024.45178524
20240729009J	RGB	1	NA	2024-07-29 12:34:54.6	5054	88.1	NA	-21.0071959631218	55.224371670934	315447.80208244	7676030.58017676
20240729009J	RGB	2	NA	2024-07-29 12:36:49	8480	90.4	NA	-21.0078466437976	55.2248391660003	315497.203797476	7675959.08168742
20240729009J	RGB	2	NA	2024-07-29 12:36:23.2	7711	88.1	NA	-21.0076899582349	55.2247242462371	315485.063908759	7675976.29600691
20240729009J	RGB	4	NA	2024-07-29 12:37:34.6	9846	90.2	NA	-21.0081535727154	55.2248028468484	315493.805593873	7675925.05884019
20240729009J	RGB	4	NA	2024-07-29 12:37:12	9173	90.4	NA	-21.0080141781433	55.2247413560933	315487.24150547	7675940.42054495
20240729009J	RGB	5	NA	2024-07-29 12:38:03.6	10716	90.2	NA	-21.0083721552447	55.2247713847898	315490.803674651	7675900.82265872
20240729009J	RGB	5	NA	2024-07-29 12:37:34.4	9843	90.2	NA	-21.0081527595715	55.2247947771186	315492.96566053	7675925.13954401
20240731004A	TIR	1	1	2024-07-31 04:48:50.2	2761	84.1	NA	-21.0417355367746	55.1957846031145	312519.055609313	7672173.26830272
20240731004A	TIR	1	2	2024-07-31 04:48:50.2	2761	84.1	NA	-21.0422118069785	55.1957297575817	312513.951454277	7672120.47390549
20240731004A	TIR	2	1	2024-07-31 04:55:32.4	14816	83.7	NA	-21.0465172465458	55.1950890486048	312452.751313876	7671643.04657248
20240731004A	TIR	2	2	2024-07-31 04:55:32.4	14816	83.7	NA	-21.0467959613096	55.1950303351832	312446.998154234	7671612.1197771
20240731004A	TIR	2	3	2024-07-31 04:55:32.4	14816	83.7	NA	-21.0471493385171	55.1949759447385	312441.787884854	7671572.93185494
20240731003J	TIR	2	3	2024-07-31 04:55:32.4	14816	83.7	NA	-21.0468995822829	55.1949069044244	312434.299234562	7671600.50225079
20240731003J	TIR	2	2	2024-07-31 04:55:32.4	14816	83.7	NA	-21.0467315224125	55.1949287787034	312436.362144137	7671619.13462929
