name	time	frame	height	yaw	pitch	roll	length	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	sensor	event	printID	age_class
20240811001A	2024-08-11 05:26:43.800000	293	79.8	138.3	-74	0	12.6370118858183	-20.970448612047	55.1751817581672	310287.481146117	7680041.42933748	40	K	1694.425	265.72	310286.80876487	7680047.71196598	310288.153527364	7680035.14670899	173.891326485297	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	1	adult
20240811001A	2024-08-11 05:26:49.600000	468	80.1	139.4	-90	0	11.9812849898894	-20.9705935396409	55.1751906553832	310288.589312145	7680025.3943145	40	K	1764.69	295.615	310288.082120986	7680031.36344799	310289.096503305	7680019.42518101	175.143301885005	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	2	adult
20240811001A	2024-08-11 05:27:12.200000	1142	80	122.4	-89.9	0	11.3297762596861	-20.97096937874	55.1751977620521	310289.80278567	7679983.79193734	40	K	1842.235	416.775	310289.927734101	7679989.45544733	310289.677837239	7679978.12842735	-178.736144789595	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	3	adult
20240811001A	2024-08-11 05:27:19.800000	1371	80.1	121.8	-89.9	0	11.0552925120808	-20.9710683451888	55.1751294472121	310282.823777114	7679972.75392097	40	K	1705.155	491.54	310283.582233097	7679978.22928558	310282.065321132	7679967.27855636	-172.113487089417	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	4	adult
20240811001A	2024-08-11 05:27:36	1857	80	121.8	-89.9	0	10.6618960113791	-20.9712783203328	55.1750299608884	310272.743463514	7679949.38867325	40	K	1575.69	588.455	310273.511617005	7679954.6639881	310271.975310022	7679944.11335839	-171.715226599123	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	5	adult
20240811001A	2024-08-11 05:27:55.600000	2445	80.1	134.5	-89.9	0	10.8777432315411	-20.9714820823121	55.1748742370011	310256.807301715	7679926.64460936	40	K	1515.465	553.15	310257.224145706	7679932.06748364	310256.390457724	7679921.22173507	-175.604447631068	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	6	adult
20240811001A	2024-08-11 05:28:05	2729	80.2	124.5	-90	0	10.5295670599134	-20.9716393528219	55.1748999366381	310259.678335134	7679909.26297272	40	K	1658.775	531.005	310260.240872604	7679914.49761666	310259.115797663	7679904.02832878	-173.866287422675	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	7	adult
20240811001A	2024-08-11 05:28:15.400000	3041	80.1	124.5	-89.9	0	10.3389524399808	-20.9718230364173	55.1748872651719	310258.592587909	7679888.91151968	40	K	1712.765	536.535	310256.614189236	7679893.68744086	310260.570986583	7679884.1355985	157.4984911661	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	8	adult
20240811001A	2024-08-11 05:32:46.400000	11159	80.3	163.4	-54.2	0	11.2516876092181	-20.9757257171335	55.1751478175291	310290.614421746	7679457.13737057	40	K	1363.84	475.5	310290.389890912	7679462.75873201	310290.838952579	7679451.51600913	177.712683237717	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	1	adult
20240811001A	2024-08-11 05:33:03.600000	11675	79.7	138.4	-89.9	0	8.6352195987067	-20.9761416256203	55.1752544912624	310302.232051251	7679411.2167931	40	K	1597.845	207.695	310301.330121271	7679415.4391475	310303.133981231	7679406.9944387	167.942356619164	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	2	adult
20240811001A	2024-08-11 05:33:19.200000	12142	78.8	118	-90	0	11.6679675557945	-20.9764470994648	55.1753172954508	310309.14843527	7679377.4708988	40	K	1524.465	362.77	310307.47958589	7679383.06109633	310310.81728465	7679371.88070126	163.377984890139	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	3	adult
20240811001A	2024-08-11 05:33:30.200000	12471	77.5	114.1	-90	0	10.521319756045	-20.9766340618112	55.1753595041084	310313.773548096	7679356.82151655	40	K	1606.155	395.305	310312.437301567	7679361.90963876	310315.109794625	7679351.73339435	165.285223197123	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	4	adult
20240811001A	2024-08-11 05:33:43.200000	12866	77	113.7	-90	0	9.71868652533853	-20.9768754879636	55.1753159526507	310309.549713978	7679330.04050004	40	K	1483.61	497.075	310309.753313024	7679334.89557618	310309.346114932	7679325.18542389	-177.598691598374	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	5	adult
20240811002A	2024-08-11 05:26:42	241	79.8	135.4	-54.5	0	12.6499852532873	-20.9703991018255	55.1752555556184	310295.092751796	7680046.99833254	40	K	1575	471.455	310294.922531287	7680053.32103423	310295.262972306	7680040.67563085	178.457848877247	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	1	adult
20240811002A	2024-08-11 05:26:48.200000	426	79.9	139.4	-90	0	12.7807386156682	-20.9705026491368	55.1752512783474	310294.77867629	7680035.52908247	40	K	1611.69	305.305	310293.912278807	7680041.86044688	310295.645073773	7680029.19771806	172.207919720403	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	2	adult
20240811002A	2024-08-11 05:26:59.800000	772	80	124	-89.9	0	11.5005211640707	-20.9707276131997	55.1753193548552	310302.141838694	7680010.70303548	40	K	1822.15	295.615	310301.44356367	7680016.41074157	310302.840113718	7680004.9953294	173.025151259713	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	3	adult
20240811002A	2024-08-11 05:27:13.800000	1194	80	121.8	-89.9	0	12.0486244660508	-20.9709636936849	55.1752758884931	310297.919851628	7679984.51398913	40	K	1736.31	400.845	310297.667931931	7679990.53303177	310298.171771326	7679978.49494649	177.603353723908	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	4	adult
20240811002A	2024-08-11 05:27:22.600000	1455	80.1	121.8	-89.9	0	10.8377847153155	-20.9710823233772	55.1752006338942	310290.244006989	7679971.29074353	40	K	1467.69	365.535	310290.354464883	7679976.70850999	310290.133549095	7679965.87297707	-178.832010483761	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	5	adult
20240811002A	2024-08-11 05:27:38.200000	1922	80.1	121.8	-89.9	0	11.0311886650619	-20.9712985027968	55.1751368425743	310283.883375263	7679947.28092498	40	K	1463.54	432	310284.398976945	7679952.77236703	310283.36777358	7679941.78948293	-174.63611815999	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	6	adult
20240811002A	2024-08-11 05:27:55	2425	80.1	134.5	-89.9	0	10.6167227950852	-20.9714815565755	55.1749898167895	310268.8255541	7679926.83988423	40	K	1388.08	437.54	310269.445340132	7679932.11193942	310268.205768067	7679921.56782903	-173.295048691253	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	7	adult
20240811002A	2024-08-11 05:28:17.600000	3103	80.1	124.5	-90	0	12.1960183810543	-20.9718407579001	55.1749875767561	310269.046144973	7679887.06845843	40	K	1662.235	339.235	310267.753439364	7679893.02787352	310270.338850582	7679881.10904333	167.761112338126	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	1	8	adult
20240811002A	2024-08-11 05:32:42.600000	11044	80.1	163.4	-45.9	0	11.5091971646828	-20.9757098588767	55.1750579952759	310281.254220503	7679458.78657963	40	K	1457.14	459.23	310281.188397661	7679464.54080175	310281.320043344	7679453.03235751	179.344619227358	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	1	adult
20240811002A	2024-08-11 05:32:52.200000	11336	80.4	163.4	-69.9	0	12.9629510582889	-20.9758313228733	55.1750885303423	310284.582793406	7679445.37497265	40	K	1462.55	241.96	310283.870738424	7679451.81721627	310285.294848388	7679438.93272904	173.692754034252	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	2	adult
20240811002A	2024-08-11 05:33:05	11717	79.8	138.4	-90	0	12.5034441307092	-20.9761516932068	55.1751771703446	310294.204563415	7679410.01046691	40	K	1698.745	270.04	310292.686039323	7679416.07496304	310295.723087507	7679403.94597078	165.942417224044	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	3	adult
20240811002A	2024-08-11 05:33:24.400000	12299	78.7	118	-90	0	11.1577931958568	-20.9765296500302	55.1752330771962	310300.495271905	7679368.23147993	40	K	1569.19	570.485	310299.232894671	7679373.66567637	310301.757649139	7679362.79728349	166.92200511752	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	4	adult
20240811002A	2024-08-11 05:33:24.600000	12304	78.7	118	-90	0	11.3847609939196	-20.9765337996192	55.1752316041076	310300.347333209	7679367.77031335	40	K	1567.385	571.85	310298.85567424	7679373.26377758	310301.838992178	7679362.27684912	164.808569283305	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	5	adult
20240811002A	2024-08-11 05:33:45.400000	12930	76.9	113.7	-89.9	0	9.60890833189	-20.9768910816919	55.1752448597189	310302.176856338	7679328.22973655	40	K	1548	581.535	310301.612082673	7679333.00088007	310302.741630003	7679323.45859302	173.24915186167	Aug-11th-2024-09-23AM-Flight-Airdata	RGB	2	6	adult
20240811001A	2024-08-11 05:26:49.400000	461	80	139.4	-90	0	20.3358121943805	-20.9700111274316	55.1756260262052	310333.127881162	7680090.39188476	40	K	627.015	570.825	310331.238321663	7680100.38267448	310335.017440661	7680080.40109503	169.290143149479	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	1	adult
20240811001A	2024-08-11 05:27:05.400000	943	80	124	-89.9	0	13.0335156497199	-20.9702097790853	55.1755454689512	310325.001533066	7680068.3027945	40	K	653.215	636.32	310324.159451996	7680074.76491737	310325.843614137	7680061.84067163	172.575606025376	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	2	adult
20240811001A	2024-08-11 05:27:23.600000	1484	80.1	121.8	-89.9	0	13.6267773775899	-20.9704145882856	55.1754359584566	310313.872169544	7680045.49764406	40	K	315.405	625.98	310314.046580671	7680052.30880007	310313.697758417	7680038.68648805	-178.533165562793	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	3	adult
20240811001A	2024-08-11 05:27:37	1891	80	121.8	-89.9	0	12.8033469198717	-20.9705990428526	55.1753684209901	310307.081863287	7680024.99579783	40	K	292.66	723.19	310307.718297857	7680031.36575656	310306.445428717	7680018.62583911	-174.294405660203	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	4	adult
20240811001A	2024-08-11 05:27:45	2128	80.1	121.8	-90	0	10.9895812505443	-20.9708085024853	55.1753124412894	310301.525015444	7680001.73922955	40	K	429.84	664.59	310302.741475641	7680007.09767602	310300.308555248	7679996.38078307	-167.209649320072	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	5	adult
20240811001A	2024-08-11 05:28:02.600000	2654	80.2	125.7	-90	0	9.63325408501629	-20.9710173181642	55.175266873403	310297.050080742	7679978.56629769	40	K	495.335	657.01	310297.278515158	7679983.37750479	310296.821646326	7679973.75509059	-177.281658042659	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	6	adult
20240811001A	2024-08-11 05:28:23.200000	3273	80.1	124.9	-89.9	0	6.40356666655147	-20.9712681216361	55.1752091798405	310291.367240633	7679950.73033155	40	K	688.375	583.925	310291.269782679	7679953.9306313	310291.464698586	7679947.53003181	178.255724561106	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	7	adult
20240811001A	2024-08-11 05:28:23.800000	3293	80.1	124.9	-89.9	0	12.0505615364434	-20.9713563361113	55.17524554203	310295.25984058	7679941.006833	40	K	771.1	465.35	310292.346952975	7679946.28121393	310298.172728185	7679935.73245208	151.089403051185	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	8	adult
20240811001A	2024-08-11 05:32:46.400000	11159	80.3	163.4	-54.2	0	14.3792648592142	-20.9754508917775	55.1758864700741	310367.0763793	7679488.44034919	40	K	375.18	547.29	310363.383427809	7679494.60905438	310370.76933079	7679482.271644	149.092768058817	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	1	adult
20240811001A	2024-08-11 05:33:05.400000	11731	79.8	138.4	-90	0	17.3598638593067	-20.9756749221049	55.1756959244328	310347.545242837	7679463.41105666	40	K	564.285	339.88	310345.105191115	7679471.74096457	310349.98529456	7679455.08114874	163.673287843767	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	2	adult
20240811001A	2024-08-11 05:33:23	12258	78.6	118	-89.9	0	9.4050456828783	-20.9758859865565	55.1755585210459	310333.52379321	7679439.88025827	40	K	402.96	625.29	310331.958933671	7679444.31477467	310335.088652749	7679435.44574187	160.562997195909	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	3	adult
20240811001A	2024-08-11 05:33:33.600000	12573	77	113.7	-89.9	0	10.4599454145749	-20.9761091397213	55.1756011479982	310338.238069398	7679415.22452097	40	K	621.5	416.4	310336.67574029	7679420.21568739	310339.800398506	7679410.23335454	162.618896974875	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	4	adult
20240811001A	2024-08-11 05:33:51	13099	76.9	113.7	-89.9	0	15.9703616823111	-20.9763709605549	55.1755414305936	310332.358909946	7679386.1663618	40	K	365.045	563.25	310332.16455208	7679394.14917697	310332.553267811	7679378.18354663	178.605293298662	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	5	adult
20240811002A	2024-08-11 05:26:47.600000	409	79.8	139.4	-90	0	16.715771859212	-20.9698488935027	55.1756646379436	310336.938334218	7680108.39928299	40	K	420.88	668.035	310335.084783942	7680116.54904425	310338.791884493	7680100.24952174	167.186831035035	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	1	adult
20240811002A	2024-08-11 05:26:50.600000	496	80.1	139.4	-89.9	0	15.1974157070733	-20.9700412400043	55.1757043538628	310341.311100773	7680087.15083762	40	K	565.66	470.865	310339.923043052	7680094.62169144	310342.699158494	7680079.6799838	169.474667984636	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	2	adult
20240811002A	2024-08-11 05:27:04.400000	912	80	124	-90	0	12.4648515691077	-20.9701766976185	55.1756201383481	310332.724569986	7680072.05390451	40	K	583.58	571.52	310331.67829911	7680078.1978811	310333.770840862	7680065.90992791	170.335687657522	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	3	adult
20240811002A	2024-08-11 05:27:18	1319	80.1	121.8	-89.9	0	12.8430200866368	-20.9703852734725	55.1755705928042	310327.835629398	7680048.90282436	40	K	476.035	541.185	310327.081414494	7680055.27988882	310328.589844302	7680042.5257599	173.254965614945	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	4	adult
20240811002A	2024-08-11 05:27:28.400000	1629	80.1	121.8	-89.9	0	10.0700683708649	-20.9705691852568	55.1755238100865	310323.202877907	7680028.48568393	40	K	423.645	492.235	310323.087640153	7680033.51939921	310323.318115661	7680023.45196865	178.688546434049	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	5	adult
20240811002A	2024-08-11 05:27:55.800000	2453	80.1	134.5	-89.9	0	20.0181006215119	-20.9708560615284	55.1754459577147	310315.469217809	7679996.63205538	40	K	156.835	646.665	310315.642345267	7680006.63960827	310315.296090352	7679986.62450248	-179.008900243317	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	6	adult
20240811002A	2024-08-11 05:28:05	2728	80.2	124.5	-90	0	12.1924183588414	-20.9710160945219	55.1753890461989	310309.753083535	7679978.84662545	40	K	374.005	505.34	310309.687152986	7679984.9424781	310309.819014083	7679972.7507728	179.380333630702	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	7	adult
20240811002A	2024-08-11 05:28:29	3449	80.1	124.9	-89.9	0	16.5531061773194	-20.9714020585196	55.1753062030656	310301.625585706	7679936.01662865	40	K	563.595	464.66	310300.193097077	7679944.16827311	310303.058074336	7679927.8649842	170.033175450308	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	1	8	adult
20240811002A	2024-08-11 05:32:42.600000	11044	80.1	163.4	-45.9	0	16.0275514025212	-20.9753014205225	55.1758304877939	310361.066380568	7679504.92260752	40	K	500.49	609.93	310356.652544494	7679511.61130336	310365.480216643	7679498.23391167	146.57938483089	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	1	adult
20240811002A	2024-08-11 05:32:52.200000	11336	80.4	163.4	-69.9	0	13.6679143856808	-20.9755165721609	55.1757432746353	310352.269073016	7679480.99882035	40	K	486.08	396.78	310349.420969809	7679487.21100829	310355.117176222	7679474.78663241	155.36995382592	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	2	adult
